物种代码,物种中文名,科学学名,观测地名称,观测时间,纬度,经度,数量,省份代码,检查表ID
gragoo,灰雁 (Graylag Goose),Anser anser,獾子洞水库 (Huanzidong Reservoir),2025-10-18 09:34,42.3696421,122.9613876,1,CN-21,S280005759
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,獾子洞水库 (Huanzidong Reservoir),2025-10-18 09:34,42.3696421,122.9613876,200,CN-21,S280005759
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,獾子洞水库 (Huanzidong Reservoir),2025-10-18 09:34,42.3696421,122.9613876,10,CN-21,S280005759
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,獾子洞水库 (Huanzidong Reservoir),2025-10-18 09:34,42.3696421,122.9613876,100,CN-21,S280005759
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,獾子洞水库 (Huanzidong Reservoir),2025-10-18 09:34,42.3696421,122.9613876,10,CN-21,S280005759
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,加格达奇机场路老桥沿岸,2025-10-18 10:45,50.4042285,124.1202917,5,CN-15,S280071448
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,南海子公园 (Nanhaizi Park),2025-10-18 11:00,39.777136,116.4605969,10,CN-11,S280283850
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,"余杭南湖 (South Lake, Yuhang)",2025-10-18 13:52,30.2575136,119.9171877,8,CN-33,S280033042
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,百望山森林公园,2025-10-18 15:00,40.0297668,116.2554789,0,CN-11,S286242704
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,沙城湿地 (Shacheng Wetlands),2025-10-18 15:00,40.3708803,115.4655815,0,CN-13,S290263411
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,沙城湿地 (Shacheng Wetlands),2025-10-18 15:00,40.3708803,115.4655815,0,CN-13,S290263411
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,土默特左旗北什轴乡北海流,2025-10-18 15:00,40.67506,111.3852,30,CN-15,S293064050
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,土默特左旗北什轴乡北海流,2025-10-18 15:00,40.67506,111.3852,500,CN-15,S293064050
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,土默特左旗北什轴乡北海流,2025-10-18 15:00,40.67506,111.3852,500,CN-15,S293064050
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,涞源湖 (Laiyuan Lake),2025-10-18 16:00,39.3411966,114.7328987,40,CN-13,S293469570
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,汉江章咀渡口,2025-10-18 16:00,31.8299871,112.1813615,3,CN-42,S280430115
gragoo,灰雁 (Graylag Goose),Anser anser,团结村 (Tuanjie Village),2025-10-18 17:00,46.486109,82.875176,100,CN-65,S284550635
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,团结村 (Tuanjie Village),2025-10-18 17:00,46.486109,82.875176,100,CN-65,S284550635
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,团结村 (Tuanjie Village),2025-10-18 17:00,46.486109,82.875176,40,CN-65,S284550635
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,大理古城 (Dali Old Town),2025-10-18 21:20,25.6988135,100.1627292,6,CN-53,S280061987
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,九龙山国家森林公园 (Jiulongshan National Forest Park),2025-10-19,30.5924528,121.1006358,5,CN-33,S282799932
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,老铁山 (Laotieshan),2025-10-19 06:31,38.7301761,121.1524252,22,CN-21,S280255561
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,五洲农业 (Wuzhou Farm),2025-10-19 07:22,36.6929827,116.8190633,1,CN-37,S280316583
gragoo,灰雁 (Graylag Goose),Anser anser,北大港水库西堤,2025-10-19 08:00,38.703444,117.279041,20,CN-12,S280289699
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,北大港水库西堤,2025-10-19 08:00,38.703444,117.279041,50,CN-12,S280289699
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,北大港水库西堤,2025-10-19 08:00,38.703444,117.279041,1,CN-12,S280289699
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,南海子公园 (Nanhaizi Park),2025-10-19 09:00,39.777136,116.4605969,1,CN-11,S280426982
gragoo,灰雁 (Graylag Goose),Anser anser,南海子公园 (Nanhaizi Park),2025-10-19 09:00,39.777136,116.4605969,1,CN-11,S280426982
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,沙河水库 (Shahe Reservoir),2025-10-19 09:30,40.1312977,116.3079643,2,CN-11,S283858514
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,条子泥--中段 (Tiaozini Tidal Flats--Central Section),2025-10-19 12:00,32.75,120.96,1,CN-32,S280250046
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,条子泥--中段 (Tiaozini Tidal Flats--Central Section),2025-10-19 12:00,32.75,120.96,14,CN-32,S280250046
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,条子泥--中段 (Tiaozini Tidal Flats--Central Section),2025-10-19 12:00,32.75,120.96,43,CN-32,S280250046
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,"余杭南湖 (South Lake, Yuhang)",2025-10-19 14:00,30.2575136,119.9171877,10,CN-33,S280256436
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,沙河水库--巩华城半岛 (Shahe Reservoir--Gonghuacheng Peninsula),2025-10-19 14:21,40.132575,116.2998359,0,CN-11,S290263410
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,"余杭南湖 (South Lake, Yuhang)",2025-10-19 15:06,30.2575136,119.9171877,0,CN-33,S280285065
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,朱村农田 (Zhucun Farmland),2025-10-19 15:22,23.287,113.716,2,CN-44,S296144101
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,奥林匹克森林公园南园 (Olympic Forest Park South),2025-10-19 16:22,40.0173836,116.3938028,13,CN-11,S280243790
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,"余杭南湖 (South Lake, Yuhang)",2025-10-19 18:42,30.2575136,119.9171877,4,CN-33,S291143612
gragoo,灰雁 (Graylag Goose),Anser anser,北大港水库 (Beidagang Reservoir),2025-10-20 08:00,38.7358754,117.3537965,1,CN-12,S280473872
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,北大港水库 (Beidagang Reservoir),2025-10-20 08:00,38.7358754,117.3537965,1,CN-12,S280473872
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,北大港水库 (Beidagang Reservoir),2025-10-20 08:00,38.7358754,117.3537965,1,CN-12,S280473872
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,喻家山 (Yujia Hill),2025-10-20 08:30,30.522914,114.4113177,10,CN-42,S289262533
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,"余杭南湖 (South Lake, Yuhang)",2025-10-20 09:17,30.2575136,119.9171877,0,CN-33,S282663572
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,条子泥--中段 (Tiaozini Tidal Flats--Central Section),2025-10-20 09:30,32.75,120.96,1,CN-32,S280486206
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,条子泥--中段 (Tiaozini Tidal Flats--Central Section),2025-10-20 09:30,32.75,120.96,12,CN-32,S280486206
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,条子泥--中段 (Tiaozini Tidal Flats--Central Section),2025-10-20 09:30,32.75,120.96,78,CN-32,S280486206
gragoo,灰雁 (Graylag Goose),Anser anser,九龙山国家森林公园 (Jiulongshan National Forest Park),2025-10-20 09:50,30.5924528,121.1006358,5,CN-33,S280437272
gragoo,灰雁 (Graylag Goose),Anser anser,崇明东滩鸟类自然保护区 (Chongming Dongtan NNR),2025-10-20 09:51,31.4951401,121.9647217,10,CN-31,S280444138
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,崇明东滩鸟类自然保护区 (Chongming Dongtan NNR),2025-10-20 09:51,31.4951401,121.9647217,1,CN-31,S280444138
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,"FangtangRiverCN-江苏省 (32.6866,120.9470)",2025-10-20 11:21,32.686636,120.947005,9,CN-32,S280438821
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,秦山海滨 (Qinshan Coast),2025-10-20 12:10,30.4105487,120.9160542,4,CN-33,S280436912
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园北园 (Olympic Forest Park North),2025-10-20 13:41,40.0271199,116.3929873,1,CN-11,S280447612
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,南海子公园 (Nanhaizi Park),2025-10-20 14:08,39.777136,116.4605969,200,CN-11,S280450100
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"海子边东街, Taiyuan CN-Shanxi 37.86498, 112.56575",2025-10-20 14:18,37.864976,112.565749,2,CN-14,S282189814
gragoo,灰雁 (Graylag Goose),Anser anser,绿水湾湿地--南段 (Lüshui Bay Wetlands--South Section),2025-10-20 16:08,31.9971529,118.6421911,5,CN-32,S280494955
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,"余杭南湖 (South Lake, Yuhang)",2025-10-21 06:00,30.2575136,119.9171877,2,CN-33,S280586364
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,奥林匹克森林公园南园 (Olympic Forest Park South),2025-10-21 07:27,40.0173836,116.3938028,8,CN-11,S280575429
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园南园 (Olympic Forest Park South),2025-10-21 07:27,40.0173836,116.3938028,30,CN-11,S280575429
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,奥林匹克森林公园南园 (Olympic Forest Park South),2025-10-21 07:27,40.0173836,116.3938028,20,CN-11,S280575429
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,喻家山 (Yujia Hill),2025-10-21 08:58,30.522914,114.4113177,22,CN-42,S280609337
gragoo,灰雁 (Graylag Goose),Anser anser,沙城湿地 (Shacheng Wetlands),2025-10-21 09:15,40.3708803,115.4655815,1,CN-13,S281157234
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,沙城湿地 (Shacheng Wetlands),2025-10-21 09:15,40.3708803,115.4655815,2,CN-13,S281157234
gragoo,灰雁 (Graylag Goose),Anser anser,"凤凰山，关沮镇, 荆州市 CN-湖北省 (30.3928,112.2764)",2025-10-21 13:23,30.392824,112.27642,9,CN-42,S280601890
gragoo,灰雁 (Graylag Goose),Anser anser,Mucuogan Lake,2025-10-21 13:54,33.968331,102.625372,20,CN-51,S280591287
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,"余杭南湖 (South Lake, Yuhang)",2025-10-21 14:21,30.2575136,119.9171877,1,CN-33,S280596575
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,"余杭南湖 (South Lake, Yuhang)",2025-10-21 14:21,30.2575136,119.9171877,5,CN-33,S280596575
gragoo,灰雁 (Graylag Goose),Anser anser,流花湖公园 (Liuhua Lake Park),2025-10-21 14:42,23.1358916,113.2511473,1,CN-44,S290710027
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,流花湖公园 (Liuhua Lake Park),2025-10-21 14:42,23.1358916,113.2511473,2,CN-44,S290710027
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"G315, Hai Bei Zang Zu Zi Zhi Zhou, Qing Hai Sheng, CN (37.144, 99.542)",2025-10-21 15:10,37.1444078,99.5422177,6,CN-63,S280587365
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,三三公路与世纪塘路交叉口(浦东新区),2025-10-21 16:12,30.96047,121.9682,11,CN-31,S290004581
gragoo,灰雁 (Graylag Goose),Anser anser,大雁塔-大慈恩寺 (Giant Wild Goose Pagoda & Daci'en Temple),2025-10-21 16:28,34.2197114,108.9594669,2,CN-61,S281023984
gragoo,灰雁 (Graylag Goose),Anser anser,红树林,2025-10-21 17:00,39.11283,105.40295,10,CN-15,S293053751
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,红树林,2025-10-21 17:00,39.11283,105.40295,20,CN-15,S293053751
gragoo,灰雁 (Graylag Goose),Anser anser,黄河三角洲自然保护区--黄河口管理站 (Yellow River Delta NNR--Estuary Station),2025-10-22 06:19,37.7830957,119.0770984,1,CN-37,S280709495
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,黄河三角洲自然保护区--黄河口管理站 (Yellow River Delta NNR--Estuary Station),2025-10-22 06:19,37.7830957,119.0770984,1,CN-37,S280709495
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,黄河三角洲自然保护区--黄河口管理站 (Yellow River Delta NNR--Estuary Station),2025-10-22 06:19,37.7830957,119.0770984,6,CN-37,S280709495
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,黄河三角洲自然保护区--黄河口管理站 (Yellow River Delta NNR--Estuary Station),2025-10-22 06:19,37.7830957,119.0770984,1,CN-37,S280709495
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,南海子公园 (Nanhaizi Park),2025-10-22 07:07,39.777136,116.4605969,80,CN-11,S280729260
gragoo,灰雁 (Graylag Goose),Anser anser,"248国道, 阿坝藏族羌族自治州 CN-四川省 (33.3959,102.5028)",2025-10-22 09:52,33.395906,102.502845,7,CN-51,S280720685
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"余杭南湖 (South Lake, Yuhang)",2025-10-22 11:16,30.2575136,119.9171877,2,CN-33,S280725469
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,哲古错,2025-10-22 12:58,28.668876,91.618028,0,CN-54,S280736308
gragoo,灰雁 (Graylag Goose),Anser anser,崇明东滩鸟类自然保护区 (Chongming Dongtan NNR),2025-10-22 14:08,31.4951401,121.9647217,29,CN-31,S280757710
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,"余杭南湖 (South Lake, Yuhang)",2025-10-22 14:12,30.2575136,119.9171877,10,CN-33,S280745308
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,唐岛湾国家湿地公园 (Tangdao Bay Wetland Park),2025-10-22 15:00,35.9364751,120.1964172,1,CN-37,S280751539
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,碧湖平原 (Bihu Plains),2025-10-22 17:06,28.3647134,119.7744606,15,CN-33,S280752984
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,碧湖平原 (Bihu Plains),2025-10-22 17:06,28.3647134,119.7744606,1,CN-33,S280752984
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,崇明东滩鸟类自然保护区 (Chongming Dongtan NNR),2025-10-23 05:47,31.4951401,121.9647217,1,CN-31,S280892712
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,钱塘大湾区湿地公园 (Qiantang Bay Area Wetland Park),2025-10-23 06:10,30.2900206,120.6830097,1,CN-33,S281016654
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,奥林匹克森林公园南园 (Olympic Forest Park South),2025-10-23 06:35,40.0173836,116.3938028,1,CN-11,S280877954
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,奥林匹克森林公园南园 (Olympic Forest Park South),2025-10-23 06:35,40.0173836,116.3938028,25,CN-11,S280877954
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,奥林匹克森林公园南园 (Olympic Forest Park South),2025-10-23 06:35,40.0173836,116.3938028,2,CN-11,S280877954
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,紫泥湖水库 (Zinihu Reservoir),2025-10-23 07:50,39.0475558,105.375718,2,CN-15,S280881844
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,紫泥湖水库 (Zinihu Reservoir),2025-10-23 07:50,39.0475558,105.375718,40,CN-15,S280881844
gragoo,灰雁 (Graylag Goose),Anser anser,南汇嘴观海公园 (Cape Nanhui Sea-viewing Park),2025-10-23 08:15,30.8826818,121.9730653,1,CN-31,S280883866
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,横排头 (Hengpaitou),2025-10-23 08:46,31.56962,116.36849,0,CN-34,S310596494
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,横排头 (Hengpaitou),2025-10-23 08:46,31.56962,116.36849,0,CN-34,S310596494
gragoo,灰雁 (Graylag Goose),Anser anser,黄陂湖 (Huangpi Lake),2025-10-23 08:53,31.1780665,117.3827672,100,CN-34,S280880992
gragoo,灰雁 (Graylag Goose),Anser anser,紫泥湖水库 (Zinihu Reservoir),2025-10-23 09:05,39.0475558,105.375718,100,CN-15,S280924255
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,Yellow River Nature Reserve,2025-10-23 10:00,37.7840522,119.0470817,5,CN-37,S281559978
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,拉市海--南岸 (Lashihai Lake--South Shore),2025-10-23 10:47,26.8644874,100.1309038,2,CN-53,S280887422
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,"余杭南湖 (South Lake, Yuhang)",2025-10-23 12:46,30.2575136,119.9171877,4,CN-33,S280891949
gragoo,灰雁 (Graylag Goose),Anser anser,"Kenli, Dongying CN-Shandong 37.74602, 119.13859",2025-10-23 13:02,37.746015,119.138589,1,CN-37,S280892016
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"Kenli, Dongying CN-Shandong 37.74602, 119.13859",2025-10-23 13:02,37.746015,119.138589,50,CN-37,S280892016
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,"Kenli, Dongying CN-Shandong 37.78436, 119.12645",2025-10-23 14:17,37.78436,119.126445,50,CN-37,S280891537
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,"余杭南湖 (South Lake, Yuhang)",2025-10-23 15:00,30.2575136,119.9171877,1,CN-33,S292721550
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,"余杭南湖 (South Lake, Yuhang)",2025-10-23 15:00,30.2575136,119.9171877,11,CN-33,S292721550
gragoo,灰雁 (Graylag Goose),Anser anser,崇明东滩鸟类自然保护区 (Chongming Dongtan NNR),2025-10-24 06:16,31.4951401,121.9647217,2,CN-31,S281024214
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园南园 (Olympic Forest Park South),2025-10-24 06:29,40.0173836,116.3938028,1,CN-11,S281030753
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,奥林匹克森林公园北园 (Olympic Forest Park North),2025-10-24 07:54,40.0271199,116.3929873,3,CN-11,S281024191
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,"余杭南湖 (South Lake, Yuhang)",2025-10-24 11:07,30.2575136,119.9171877,1,CN-33,S281019944
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,南湖公园,2025-10-24 13:00,30.249337,119.919629,25,CN-33,S283083486
gragoo,灰雁 (Graylag Goose),Anser anser,紫泥湖水库,2025-10-24 14:00,39.048921,105.3747024,0,CN-15,S281041020
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,紫泥湖水库,2025-10-24 14:00,39.048921,105.3747024,0,CN-15,S281041020
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,沙河水库--北沙河 (Shahe Reservoir--North Canal [Beishahe]),2025-10-24 14:29,40.1355614,116.2845956,10,CN-11,S281027734
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,石狮湿地公园,2025-10-24 15:00,24.7824097,118.675046,8,CN-35,S281624852
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,石狮湿地公园,2025-10-24 15:00,24.7824097,118.675046,3,CN-35,S281624852
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,Qingdao Ferry Station,2025-10-24 16:30,36.0861768,120.3105536,1,CN-37,S281604893
gragoo,灰雁 (Graylag Goose),Anser anser,流花湖公园 (Liuhua Lake Park),2025-10-24 16:41,23.1358916,113.2511473,0,CN-44,S283167817
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,流花湖公园 (Liuhua Lake Park),2025-10-24 16:41,23.1358916,113.2511473,0,CN-44,S283167817
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,"余杭南湖 (South Lake, Yuhang)",2025-10-24 21:00,30.2575136,119.9171877,5,CN-33,S281187228
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,奥林匹克森林公园南园 (Olympic Forest Park South),2025-10-25 06:44,40.0173836,116.3938028,14,CN-11,S281170059
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,奥林匹克森林公园南园 (Olympic Forest Park South),2025-10-25 06:44,40.0173836,116.3938028,5,CN-11,S281170059
gragoo,灰雁 (Graylag Goose),Anser anser,希里沟湖 (Lake Xiligou),2025-10-25 07:44,36.838594,98.462896,150,CN-63,S281196211
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,希里沟湖 (Lake Xiligou),2025-10-25 07:44,36.838594,98.462896,1,CN-63,S281196211
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,紫泥湖水库 (Zinihu Reservoir),2025-10-25 08:00,39.0475558,105.375718,0,CN-15,S286310224
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,"余杭南湖 (South Lake, Yuhang)",2025-10-25 08:27,30.2575136,119.9171877,4,CN-33,S281203280
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,北八滧 (Beibayao),2025-10-25 09:34,31.5933223,121.8447603,4,CN-31,S281194750
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,北戴河--滩涂 (Beidaihe--Mudflats),2025-10-25 09:41,39.8390767,119.5166557,2,CN-13,S281168251
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,北戴河--滩涂 (Beidaihe--Mudflats),2025-10-25 09:41,39.8390767,119.5166557,2,CN-13,S281168251
gragoo,灰雁 (Graylag Goose),Anser anser,浐灞国家湿地公园 (Chan Ba National Wetland Park),2025-10-25 11:10,34.4226751,109.000855,7,CN-61,S281182809
gragoo,灰雁 (Graylag Goose),Anser anser,紫泥湖水库 (Zinihu Reservoir),2025-10-25 13:00,39.0475558,105.375718,20,CN-15,S282248387
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,紫泥湖水库 (Zinihu Reservoir),2025-10-25 13:00,39.0475558,105.375718,30,CN-15,S282248387
gragoo,灰雁 (Graylag Goose),Anser anser,北大港水库 (Beidagang Reservoir),2025-10-25 13:20,38.7358754,117.3537965,100,CN-12,S281213942
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,北大港水库 (Beidagang Reservoir),2025-10-25 13:20,38.7358754,117.3537965,5,CN-12,S281213942
gragoo,灰雁 (Graylag Goose),Anser anser,南海子公园 (Nanhaizi Park),2025-10-25 13:30,39.777136,116.4605969,1,CN-11,S281197883
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,塘雅万亩水田 (Tangya Extensive Paddyfields),2025-10-25 14:18,29.1392853,119.8140254,8,CN-33,S281196962
gragoo,灰雁 (Graylag Goose),Anser anser,流花湖公园 (Liuhua Lake Park),2025-10-25 16:07,23.1358916,113.2511473,1,CN-44,S290710071
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,流花湖公园 (Liuhua Lake Park),2025-10-25 16:07,23.1358916,113.2511473,2,CN-44,S290710071
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,西溪国家湿地公园 (Xixi National Wetland Park),2025-10-25 16:30,30.2673985,120.0694644,4,CN-33,S281579744
gragoo,灰雁 (Graylag Goose),Anser anser,G217-胜利路湿地 (G217 & Shengli Rd Wetlands),2025-10-25 16:45,45.557195,84.954688,4,CN-65,S289057861
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,北京温榆河公园 (Beijing Wenyuhe Park),2025-10-25 21:05,40.0752544,116.4708367,3,CN-11,S281290141
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,沙城湿地 (Shacheng Wetlands),2025-10-26 08:15,40.3708803,115.4655815,65,CN-13,S293452110
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,沙城湿地 (Shacheng Wetlands),2025-10-26 08:15,40.3708803,115.4655815,20,CN-13,S293452110
gragoo,灰雁 (Graylag Goose),Anser anser,汉沽滨海林地 (Hangu Coastal Woods),2025-10-26 08:26,39.2435175,118.0012321,3,CN-12,S281388322
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,奥林匹克森林公园南园--奥海西侧 (Olympic Forest Park South--Aohai West),2025-10-26 08:33,40.0152176,116.3882601,1,CN-11,S281395889
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,南汇东滩--3-8号魔术林 (Nanhui Dongtan--No.3-8 Woods),2025-10-26 09:00,30.9489275,121.9638785,3,CN-31,S281379029
gragoo,灰雁 (Graylag Goose),Anser anser,颐和园--团城湖 (Summer Palace--Tuancheng Lake),2025-10-26 09:05,39.9914673,116.264186,1,CN-11,S281372447
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,"余杭南湖 (South Lake, Yuhang)",2025-10-26 09:05,30.2575136,119.9171877,11,CN-33,S281437896
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,"余杭南湖 (South Lake, Yuhang)",2025-10-26 09:05,30.2575136,119.9171877,1,CN-33,S281437896
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"余杭南湖 (South Lake, Yuhang)",2025-10-26 10:30,30.2575136,119.9171877,2,CN-33,S281398069
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,南汇东滩--3-8号魔术林 (Nanhui Dongtan--No.3-8 Woods),2025-10-26 10:53,30.9489275,121.9638785,3,CN-31,S288222908
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,丝山 (Sishan),2025-10-26 11:07,35.4967166,119.5530096,15,CN-37,S281383588
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,"余杭南湖 (South Lake, Yuhang)",2025-10-26 12:00,30.2575136,119.9171877,0,CN-33,S282663568
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,神农架国家公园 (Shennongjia NP [General Area]),2025-10-26 12:34,31.4143435,110.3004442,6,CN-42,S281440414
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,南海子公园 (Nanhaizi Park),2025-10-26 14:00,39.777136,116.4605969,50,CN-11,S281767395
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,七里海,2025-10-26 14:50,39.278868,117.521747,1,CN-12,S281573116
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,五丰岛 (Wufeng Island),2025-10-27 06:10,30.0936579,120.1213419,5,CN-33,S281759391
